timestamp,GPS_latitude,GPS_longitude
2023-05-27 11:19:51,30.607462,-96.336492
2023-05-27 11:19:45,30.607459,-96.336486
2023-05-27 11:19:32,30.60751,-96.336492
2023-05-27 11:19:20,30.607632,-96.336608
2023-05-27 11:19:11,30.607708,-96.33671
2023-05-27 11:19:02,30.607804,-96.33687
2023-05-27 11:18:52,30.607888,-96.336947
2023-05-27 11:18:45,30.607942,-96.337068
2023-05-27 11:18:30,30.607958,-96.337107
2023-05-27 11:18:21,30.607964,-96.33703
2023-05-27 11:18:16,30.608108,-96.337043
2023-05-27 11:18:00,30.608217,-96.337068
2023-05-27 11:17:51,30.608361,-96.337132
2023-05-27 11:17:46,30.60848,-96.337209
2023-05-27 11:17:35,30.608582,-96.337286
2023-05-27 11:17:20,30.608739,-96.33742
2023-05-27 11:17:11,30.608832,-96.337504
2023-05-27 11:17:02,30.608972,-96.337612
2023-05-27 11:16:52,30.609075,-96.337708
2023-05-27 11:16:41,30.609174,-96.337792
2023-05-27 11:16:32,30.609305,-96.337907
2023-05-27 11:16:22,30.609404,-96.337843
2023-05-27 11:16:11,30.609545,-96.337945
2023-05-27 11:16:02,30.609644,-96.337984
2023-05-27 11:15:52,30.609772,-96.338028
2023-05-27 11:15:40,30.609904,-96.338022
2023-05-27 11:15:30,30.610016,-96.338028
2023-05-27 11:15:21,30.610128,-96.338003
2023-05-27 11:15:16,30.610192,-96.337888
2023-05-27 11:15:12,30.610284,-96.337728
2023-05-27 11:15:00,30.610323,-96.337593
2023-05-27 11:14:52,30.61031,-96.337491
2023-05-27 11:14:40,30.610307,-96.337491
2023-05-27 11:14:27,30.610352,-96.337472
2023-05-27 11:14:15,30.610377,-96.337305
2023-05-27 11:14:10,30.610419,-96.337164
2023-05-27 11:14:02,30.610489,-96.337043
2023-05-27 11:13:56,30.610476,-96.336998
2023-05-27 11:13:51,30.610425,-96.336953
2023-05-27 11:13:45,30.610416,-96.33696
2023-05-27 11:13:31,30.61039,-96.337011
2023-05-27 11:13:12,30.610406,-96.337068
2023-05-27 11:13:01,30.610355,-96.337164
2023-05-27 11:12:41,30.610278,-96.337196
2023-05-27 11:12:32,30.610268,-96.337203
2023-05-27 11:12:20,30.610198,-96.337171
2023-05-27 11:12:11,30.610064,-96.337094
2023-05-27 11:12:05,30.609955,-96.33703
2023-05-27 11:11:51,30.609843,-96.33703
2023-05-27 11:11:42,30.609712,-96.337126
2023-05-27 11:11:35,30.609641,-96.337222
2023-05-27 11:11:30,30.609561,-96.337356
2023-05-27 11:11:22,30.609555,-96.337363
2023-05-27 11:11:10,30.609555,-96.337363
2023-05-27 11:11:05,30.609561,-96.337369
2023-05-27 11:10:51,30.609561,-96.337369
2023-05-27 11:10:40,30.609536,-96.337369
2023-05-27 11:10:26,30.609504,-96.337452
2023-05-27 11:10:15,30.609497,-96.33758
2023-05-27 11:10:02,30.609619,-96.337715
2023-05-27 11:09:52,30.609625,-96.337811
2023-05-27 11:09:40,30.609683,-96.337926
2023-05-27 11:09:31,30.609766,-96.338009
2023-05-27 11:09:25,30.609904,-96.338035
2023-05-27 11:09:17,30.609993,-96.338112
2023-05-27 11:09:11,30.610118,-96.338105
2023-05-27 11:09:05,30.610121,-96.338105
2023-05-27 11:08:52,30.610118,-96.33815
2023-05-27 11:08:40,30.610163,-96.33831
2023-05-27 11:08:27,30.610201,-96.338425
2023-05-27 11:08:15,30.610265,-96.33854
2023-05-27 11:08:02,30.610348,-96.338675
2023-05-27 11:07:52,30.610419,-96.338771
2023-05-27 11:07:42,30.610547,-96.338835
2023-05-27 11:07:35,30.610656,-96.338784
2023-05-27 11:07:30,30.610768,-96.338739
2023-05-27 11:07:16,30.61087,-96.338624
2023-05-27 11:07:05,30.610905,-96.338515
2023-05-27 11:06:50,30.61096,-96.338336
2023-05-27 11:06:42,30.610928,-96.338182
2023-05-27 11:06:32,30.610902,-96.338022
2023-05-27 11:06:20,30.610912,-96.3379
